HydroCode,OBJECTID,BoreID,RefElev,RefElevDesc,FromDepth,ToDepth,TopElev,BottomElev,MajorLithCode,MinorLithCode,Description,Source,LogType,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Latitude,longitude
GW025331.3.1,204996,10040612,196.9,NGS,50.33,51.85,146.57,145.05,GRVL,,"Gravel; ligth brown, fine to medium, some fine to medium sand",Unknown - WC&IC,2,,,,,,,,,-30.2026,149.544
GW029833.1.1,237608,10045205,431.35,NGS,30.78,32.92,400.57,398.43,GRVL,,Gravel water bearing sand fine,NSW Hydstra,1,,,,,,,,,-31.0537,151.061
GW036418.1.1,305171,10053096,307.6,NGS,0.0,1.8,307.6,305.8,CLAY,,Clay black,NSW Hydstra,1,,,,,,,,,-30.8276,150.38
GW034067.1.1,279689,10050131,573.65,NGS,0.0,0.6,573.65,573.05,TPSL,,Topsoil,NSW Hydstra,1,,,,,,,,,-30.6498,150.582
GW036023.2.1,289922,10052109,185.3,NGS,60.96,70.104,124.34,115.196,CLAY,,Clay, light grey & light yellow brown,WC&IC,2,,,,,,,,-30.1932,149.328
GW006368.1.1,67105,10021711,522.64,NGS,3.05,12.19,519.59,510.45,BSLT,,Basalt decomposed,NSW Hydstra,1,,,,,,,,,-31.6179,149.927
GW970160.1.1,835243,10151790,407.85,NGS,34.0,46.0,373.85,361.85,BSLT,,"Basalt, even drilling, dark",NSW Hydstra,1,,,,,,,,,-30.7644,150.491
GW046757.1.1,367792,10061995,187.97,NGS,1.22,3.96,186.75,184.01,CLAY,,Clay,NSW Hydstra,1,,,,,,,,,-30.167,149.383
GW045616.1.1,364133,10061005,210.62,NGS,42.67,43.89,167.95,166.73,CLAY,,Clay light brown sandy,NSW Hydstra,1,,,,,,,,,-30.4026,149.408
GW036363.3.1,303380,10052977,155.0,NGS,80.8,82.4,74.2,72.6,CLAY,,"Clay - light brown, very sandy, fine to coarse, some fine gravel",I. Krumins,2,,,,,,,,,-29.874,148.911
GW047639.1.1,373214,10062870,181.77,NGS,0.0,1.82,181.77,179.95,TPSL,,Topsoil,NSW Hydstra,1,,,,,,,,,-30.1851,149.267
GW036323.1.1,301722,10052869,165.7,NGS,39.7,41.2,126.0,124.5,GRVL,,"Gravel - 30% 1/10mm-.5mm, 20% .5-2mm, 50% 2-3.5mm, clay 6% medium brown",I. Krumins,2,,,,,,,,,-29.9845,149.106
GW901700.1.1,796029,10145433,186.87,NGS,28.3,29.3,158.57,157.57,CLAY,,Clay,NSW Hydstra,1,,,,,,,,,-30.1912,149.326
GW026714.1.1,216915,10042104,303.04,NGS,30.78,34.14,272.26,268.9,GRVL,,Gravel river water supply,NSW Hydstra,1,,,,,,,,,-31.354,150.359
GW901382.1.1,793928,10145116,654.67,NGS,5.1,15.1,649.57,639.57,BSLT,,Blue basalt,NSW Hydstra,1,,,,,,,,,-30.5785,150.487
GW000374.1.1,3662,10015723,228.48,NGS,0.0,86.87,228.48,141.61,CLAY,,Clay,NSW Hydstra,1,,,,,,,,,-30.3882,149.529
GW039488.1.1,338075,10056756,140,NGS,1.0,25.0,139,115,CLAY,,Brown clay,NSW Hydstra,1,,,,,,,,,-30.697,149.032
GW965958.1.1,809595,10147531,201.39,NGS,49.4,50.3,151.99,151.09,SAND,,Fine to coarse brown sand,NSW Hydstra,1,,,,,,,,,-30.2085,149.61
GW019889.1.1,162603,10035145,214.52,NGS,14.02,19.2,200.5,195.32,GRVL,,Gravel clay fine,NSW Hydstra,1,,,,,,,,,-30.3272,149.798
GW000060.1.1,785,10015409,249.52,NGS,109.42,110.33,140.1,139.19,CLAY,,Clay,NSW Hydstra,1,,,,,,,,,-30.5073,149.517
GW029860.1.1,237915,10045232,186.24,NGS,9.14,11.27,177.1,174.97,CLAY,,Clay sandy,NSW Hydstra,1,,,,,,,,,-30.2201,149.356
GW035130.1.1,284388,10051186,564.69,NGS,4.87,5.48,559.82,559.21,GRVL,,Gravel dry,NSW Hydstra,1,,,,,,,,,-31.4015,151.103
GW901424.1.1,794219,10145157,411.42,NGS,8.4,9.6,403.02,401.82,CLAY,,Clay,NSW Hydstra,1,,,,,,,,,-31.5118,150.733
GW966595.1.1,811738,10148171,445.02,NGS,16.2,16.8,428.82,428.22,WB,,Water bering brown shale,NSW Hydstra,1,,,,,,,,,-31.6144,150.731
GW965844.1.1,809234,10147418,613.37,NGS,18.1,19.3,595.27,594.07,BSLT,,Basalt/blue,NSW Hydstra,1,,,,,,,,,-31.486,151.107
GW029357.1.1,234846,10044732,184.44,NGS,28.34,30.48,156.1,153.96,GRVL,,Gravel water supply,NSW Hydstra,1,,,,,,,,,-30.2279,149.318
GW025148.1.1,200818,10040316,178.3,NGS,3.05,10.67,175.25,167.63,CLAY,,Clay sandy,NSW Hydstra,1,,,,,,,,,-30.0176,149.322
GW019219.1.1,158673,10034479,423.89,NGS,0.0,0.61,423.89,423.28,TPSL,,Topsoil silty,NSW Hydstra,1,,,,,,,,,-31.6495,150.726
GW070590.1.1,471489,10083642,268.13,NGS,36.88,41.75,231.25,226.38,UNKN,,Alluvial gravels,NSW Hydstra,1,,,,,,,,,-30.8589,150.254
GW028765.1.1,230720,10044140,296.15,NGS,0.0,42.67,296.15,253.48,UNKN,,Driller,NSW Hydstra,1,,,,,,,,,-31.3256,150.421
GW050218.1.1,387959,10065431,515.86,NGS,0.0,1.0,515.86,514.86,TPSL,,Topsoil,NSW Hydstra,1,,,,,,,,,-30.3693,150.564
GW901254.1.1,793135,10144988,474.52,NGS,23.0,32.0,451.52,442.52,8,,Limestone,NSW Hydstra,1,,,,,,,,,-30.8665,150.872
