Description,Extracted
sandyellow,sand
claygravel,gravel clay
sandstone,sandstone
sandstonewatersupply,water sandstone
shaleblack,shale
claygritty,clay
driller,diorite
mudsand,mud sand
shale,shale
mudsoft,mud
sandstonewatersupply,water sandstone
shaleblack,shale
clayyellow,clay
clay,clay
shalewatersupply,water shale
claywatersupply,water clay
clayred,clay
pipeclay,clay
sandgravel,gravel sand
sandstonehardwatersupply,water sandstone
sanddriftwatersupply,sand water drift
claytough,clay
sandstone,sandstone
clay,clay
gravel,gravel
earth,
sandstone,sandstone
sandstone,sandstone
clayrising,clay
sandstone,sandstone
shale,shale
shalegreyhardsandstreaks,sand shale
clayyellow,clay
sandwatersupply,sand water
shalesticky,shale
sandstonehardsand,sand sandstone
pipeclaywhite,clay
pipeclay,clay
shalegrey,shale
shalegreyhard,shale
shale,shale
shalegreyhard,shale
clayyellowsandy,sand clay
sandstonehard,sandstone
shalewatersupply,water shale
shalegrey,shale
clay,clay
driller,diorite
sandstonewatersupply,water sandstone
sand,sand
driller,diorite
claygritty,clay
cement,cement
clayyellow,clay
shalegrey,shale
sandstone,sandstone
claygritty,clay
clay,clay
sandstonewatersupply,water sandstone
driller,diorite
gravelsand,gravel sand
claygritty,clay
sandstone,sandstone
sandboulder,sand boulders
shalewaterbearing,water shale
shale,shale
sandboulder,sand boulders
shale,shale
conglomerate,conglomerate
clayyellowwaterbearing,water clay
clayyellowsand,sand clay
sandstonestreaks,sandstone
clayyellowsand,sand clay
boulders,boulders
driller,diorite
shale,shale
clayyellow,clay
driller,diorite
sandstonewatersupply,water sandstone
shale,shale
clay,clay
pipeclay,clay
shalegrey,shale
sandstone,sandstone
shalegreysandy,sand shale
shale,shale
shalegrey,shale
clayyellow,clay
sandstonebands,sand sandstone
sandstonewhitewatersupply,water sandstone
slateverysticky,slate
sandgravel,gravel sand
shalemixed,shale
claygritty,clay
clayslippery,clay
sand,sand
claygritty,clay
sandstonewatersupply,water sandstone
claysandywatersupply,sand water clay
sandstone,sandstone
shalesandy,sand shale
clay,clay
sandstonewatersupply,water sandstone
shalesandy,sand shale
shalepuggy,shale
sandstonehard,sandstone
sandstone,sandstone
shale,shale
sandstonered,sandstone
sandstonewatersupply,water sandstone
sandstone,sandstone
soil,soil
shale,shale
clay,clay
gravelwatersupply,gravel water
clayyellow,clay
clayblack,clay
clayyellow,clay
clayyellowgravel,gravel clay
clayred,clay
sandstonewatersupply,water sandstone
driller,diorite
claywatersupply,water clay
clay,clay
sandstone,sandstone
cement,cement
sandstonewatersupply,water sandstone
sandstonehardwatersupply,water sandstone
claygritty,clay
gravelclay,gravel clay
rockredwaterbearing,water rock
rockredhard,rock
rockred,rock
clayred,clay
clayblack,clay
drift,drift
claysandy,sand clay
shalesandy,sand shale
sandstonewatersupply,water sandstone
shale,shale
shale,shale
clay,clay
clay,clay
drift,drift
claysandy,sand clay
sandstonehard,sandstone
sandstoneshale,shale sandstone
boulders,boulders
sandstone,sandstone
shalepuggy,shale
sandstone,sandstone
sandstone,sandstone
shalesandywatersupply,sand water shale
sandstone,sandstone
shalehardsandstone,shale sandstone
claygritty,clay
gravelsand,gravel sand
shalegrey,shale
shalegrey,shale
claygritty,clay
sandstonehard,sandstone
sandstone,sandstone
sandstonewatersupply,water sandstone
claysticky,clay
claygritty,clay
claygritty,clay
shaleblack,shale
sandstone,sandstone
clay,clay
sandgravel,gravel sand
sandstonewatersupply,water sandstone
claygritty,clay
clayblack,clay
gravel,gravel
gravel,gravel
clayred,clay
clayyellow,clay
clayyellow,clay
sandstonewatersupply,water sandstone
claystickygritty,clay
claygritty,clay
sandgravelgrittyclay,gravel sand clay
rockhard,rock
soilredclay,soil clay
rockhardclaythinlayers,rock clay
formationstrataveryharddarksandyclaybands,sand clay
claygritty,clay
driller,diorite
sandstonewatersupply,water sandstone
shale,shale
shale,shale
clay,clay
sandstonewatersupply,water sandstone
clay,clay
claygritty,clay
sand,sand
shaleblack,shale
sand,sand
rockgreenshale,shale rock
shalehard,shale
rockhardwatersupply,water rock
soilred,soil
sandstonehard,sandstone
clayyellow,clay
rockgreenhard,rock
rock,rock
sandrock,sand rock
shale,shale
rockhard,rock
sandrockhard,sand rock
shalehard,shale
rockwhitehard,rock
shale,shale
claywhitehard,clay
shaleblack,shale
gravelclay,gravel clay
shalegreymixed,shale
rockblackhard,rock
shalehardrockmixed,shale rock
shalegreyhardrockmixed,shale rock
rock,rock
rockblack,rock
clayyellow,clay
rockblackhard,rock
rockblackhard,rock
rock,rock
rockorangehard,rock
shalegrey,shale
basalt,basalt
sandrockhard,sand rock
rockblackhard,rock
rockgreen,rock
rockveryhard,rock
quartzwhite,quartz
shalehardrockseams,shale rock
rockhard,rock
basalt,basalt
clayyellow,clay
sandstonewatersupply,water sandstone
sandgravel,gravel sand
claygravelslipperyback,gravel clay
shale,shale
driller,diorite
clay,clay
sandstonewatersupply,water sandstone
claysandy,sand clay
soil,soil
basalt,basalt
basalt,basalt
clay,clay
basalt,basalt
basaltveryhard,basalt
basalthard,basalt
basaltwatersupply,water basalt
basalthardwatersupply,water basalt
rockbasaltwatersupply,water basalt rock
basaltsoft,basalt
basalthard,basalt
clay,clay
clay,clay
sandgravel,gravel sand
quartzgravel,gravel quartz
shale,shale
sandstonehardrock,rock sandstone
sandstonewatersupply,water sandstone
pipeclay,clay
sandstonegrey,sandstone
shale,shale
rockhard,rock
claygravel,gravel clay
claysandy,sand clay
shalesandy,sand shale
shaleverysticky,shale
shale,shale
rockveryhard,rock
shale,shale
softstreaks,arkose
clayyellow,clay
rockhard,rock
claygritty,clay
bouldersbasalt,basalt boulders
clay,clay
basalthardwatersupply,water basalt
shalewatersupply,water shale
shale,shale
sandstonewatersupply,water sandstone
clay,clay
shale,shale
shalegrey,shale
shalegrey,shale
sandstoneshale,shale sandstone
sandstoneyellow,sandstone
shalegrey,shale
sandstonehard,sandstone
shalesandstonehardbands,shale sandstone
shale,shale
rockbands,sand rock
rockwhitegravel,gravel rock
shalehard,shale
sandstonehard,sandstone
gravel,gravel
shale,shale
sandstonegrey,sandstone
shalegrey,shale
sandstonegreen,sandstone
rock,rock
shalegreysandstone,shale sandstone
clayyellow,clay
sandstonegrey,sandstone
shale,shale
sandstonegravel,gravel sandstone
shalesandstone,shale sandstone
sandstoneshale,shale sandstone
sandstonewhitehard,sandstone
shalegrey,shale
clay,clay
sandstoneyellow,sandstone
shale,shale
shaleblackwatersupply,water shale
limestone,limestone
shalegreyhardhardbands,shale
sandstone,sandstone
sandstone,sandstone
shalegrey,shale
shaleblack,shale
